OverTime,JobLevel,TotalWorkingYears,Age,YearsInCurrentRole,MonthlyIncome,MaritalStatus,YearsAtCompany,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,C0,C1,Attrition
0,2,10,38,2,0.24973634254376714,0,2,3,4,4,-3.3994993625211833,-4.8657599950255666,0
0,2,16,38,13,0.1809217464669901,1,15,3,2,4,6.071699144116643,9.362761355250546,0
1,2,10,43,9,0.36057793714406244,1,10,3,4,4,3.5393153983012837,0.17553228483928862,0
1,1,4,37,2,0.06944737397173592,1,4,3,4,2,-7.382185202625447,-4.3249958478661625,0
0,2,11,30,10,0.16573507698797724,1,11,2,4,3,-4.285440046882876,9.200822436854697,0
1,4,21,39,9,0.8497152499472685,0,19,2,2,3,10.708419215453816,11.130534790933714,0
0,5,21,43,12,0.9693630035857415,1,16,2,3,1,13.077397937959034,7.934531181727772,0
0,2,9,27,6,0.30594811221261337,2,7,2,1,4,-9.46082457214273,6.310323610008577,0
0,2,10,42,4,0.2760493566758068,2,5,2,3,3,0.5586023216505396,-4.488965274138799,0
0,1,4,31,2,0.15655979751107363,0,2,4,3,1,-12.099004185800435,-2.089375724165306,0
1,1,8,39,2,0.07356043028896857,1,2,3,1,4,-4.0808763408322335,-5.975016458845243,1
0,4,9,29,7,0.7970364901919427,0,7,2,4,4,-7.772544914616589,5.611068498506996,0
1,5,22,49,2,0.9310272094494833,2,3,3,1,3,12.324747734431824,-7.952914025575083,0
0,1,20,38,0,0.09750052731491247,2,1,2,1,1,2.2910964103173157,-4.102827043136269,0
0,4,16,42,0,0.7900759333473951,2,1,3,4,1,2.710453489745305,-7.255145860648174,0
0,3,9,34,7,0.4017612318076355,0,8,3,3,4,-4.1145108096905005,3.247935712585665,0
1,2,17,36,8,0.2940835266821346,1,16,3,4,3,4.876008326292599,9.548741655984418,0
0,2,5,27,2,0.175754060324826,1,4,3,4,3,-13.53458922741007,1.8927312604550224,0
0,3,20,40,0,0.5232545876397384,0,1,1,1,3,3.81734395124019,-5.201683278159695,0
1,3,10,34,9,0.3202910778316811,1,10,2,3,4,-2.5680157771814933,5.574794876075124,0
0,3,10,43,0,0.4733178654292344,3,1,3,1,3,-0.5199563885671381,-9.270691301421575,0
0,3,13,31,7,0.5159249103564649,0,13,3,4,1,-2.0895660329416685,9.289462477014936,0
0,1,12,41,3,0.09349293398017296,1,5,3,4,4,0.9244467056895047,-3.8614926723445535,0
0,2,10,31,8,0.21060957603881042,1,10,1,1,4,-4.85364375458127,6.932815223673047,0
0,2,12,45,2,0.23149124657245307,2,4,3,3,2,3.283522170419772,-7.262720726362755,0
0,2,9,33,7,0.19368276734866063,2,7,2,4,2,-5.1841409797698255,3.139298569216095,0
0,2,17,36,2,0.08236658932714618,1,5,4,4,3,0.6033822629514702,-0.10439193237061595,0
0,1,14,33,11,0.053733389580257335,1,14,4,2,2,0.6833859678796017,10.417613267996984,0
0,1,5,31,2,0.10029529635098079,0,5,3,3,1,-10.548901563777651,0.14442892403868157,0
0,1,1,19,0,0.06939464248048935,2,0,1,1,3,-23.191913307206775,2.266943035740871,1
0,1,5,32,1,0.09412571187513182,1,5,4,2,2,-10.024036889316484,-0.8537146121267405,0
0,2,18,36,9,0.3569921957392955,2,11,3,4,1,4.148704444053848,6.8151275029570195,0
0,2,19,37,0,0.16146382619700483,0,10,3,2,3,3.7842630781126587,2.3251559387614815,0
1,1,1,29,0,0.06907825353300992,3,1,2,1,2,-16.028651720956372,-3.030067370507595,1
0,1,11,29,5,0.07936089432609154,0,7,3,4,3,-7.026021645786525,5.172283807688416,0
0,5,21,41,16,1.0,3,21,1,3,2,13.83066314121578,13.988068751396645,0
1,2,12,30,9,0.28148070027420374,1,11,3,4,3,-3.8008425840509332,9.040291611928915,0
0,3,9,39,3,0.6567707234760599,2,4,3,3,3,-2.5193019782800974,-3.9417406472135106,0
1,1,1,22,0,0.07324404134148914,1,1,3,1,3,-20.825060535855382,1.1446637927379228,1
0,2,6,31,4,0.1759122547985657,1,5,1,3,3,-9.540497806101538,1.1738730681016172,0
0,4,26,45,3,0.8775047458342122,1,9,3,4,4,14.04723248528147,-0.2985095331802814,0
0,2,19,42,4,0.1870385994515925,0,5,3,3,1,6.315016767835367,-2.450797463439546,0
0,3,10,31,9,0.41837165155030587,1,10,2,3,3,-4.6212909013067005,7.363804605182629,0
0,2,13,51,1,0.23586796034591861,0,4,1,2,4,7.889326502282245,-10.982290280710611,0
0,2,14,34,9,0.228538283062645,2,13,2,1,4,0.8207933600707591,8.42184256360374,0
0,4,10,33,8,0.8666420586374183,2,10,3,3,4,-3.331062722035888,5.817448694419288,0
0,2,15,40,8,0.24615060113900022,1,11,3,2,2,4.824677082784646,3.3652875034740433,0
1,3,10,33,8,0.38868382197848556,0,9,4,3,4,-3.706114892274236,5.115790997784128,0
0,2,6,34,5,0.24810166631512343,1,6,3,3,2,-7.019376015763537,0.4299017531706806,0
0,1,10,34,9,0.08869436827673487,1,10,3,4,2,-2.7064553373723257,5.500138366724769,0
1,3,9,30,7,0.5487766294030796,1,8,4,1,2,-6.860797765953794,5.616038994654214,0
1,2,9,45,8,0.13836743303100613,1,9,3,1,4,3.8095780384184863,-2.310442595642467,0
0,3,9,37,5,0.41262391900442946,0,9,3,2,1,-2.0529771442311997,1.3647244226073028,0
0,2,13,31,7,0.3447584897700907,0,7,3,4,4,-3.9962557310025986,5.235044061775838,0
0,1,8,32,7,0.10857414047669268,2,7,3,4,4,-6.5851578356175295,3.460718081643602,0
1,1,7,30,2,0.05921746466990087,1,5,3,3,1,-9.97458227326766,1.183407861532661,1
0,2,10,33,3,0.23027842227378192,1,5,4,1,3,-5.768881331949974,0.4738534714648175,0
1,3,10,38,0,0.36131617802151444,2,1,3,3,3,-3.94871740407185,-6.274272979689137,0
0,2,17,41,0,0.10878506644167897,0,1,3,1,3,2.5120872111823402,-6.525422354803407,0
0,3,18,51,2,0.508384307108205,2,4,1,4,1,11.299712478589107,-9.428892752214821,1
0,2,13,38,3,0.27836954229065597,0,4,2,1,1,-0.7179183536231619,-2.4749694333330527,0
0,2,9,27,8,0.13346340434507487,1,9,2,3,2,-8.53627780071158,8.432590528061095,0
0,4,33,53,9,0.6995359628770301,2,12,3,4,4,25.833664476145223,0.8057393561698252,0
0,2,4,30,1,0.226323560430289,1,2,3,3,4,-12.87871529840631,-1.8459905869065718,0
0,1,1,30,0,0.0037966673697532177,2,1,3,4,2,-15.334115620917444,-3.610482807175547,1
0,1,7,30,2,0.1489137312803206,1,2,1,3,4,-10.883222314543428,-0.8155481350115412,0
1,5,32,58,8,0.9856570343809323,1,9,3,1,4,27.63610620903694,-4.753166936285307,0
0,2,16,34,1,0.45960767770512556,0,15,4,4,2,1.4954435970996585,7.169859315273886,0
0,2,18,51,7,0.20707656612529002,1,7,3,4,3,12.915821027941718,-5.558472475593728,0
1,4,21,39,9,0.8468150179287071,1,21,3,1,3,11.311888829652695,12.449347183546534,0
0,3,10,36,3,0.47305420797300146,2,10,3,4,2,-2.1136646167131445,2.08457636809975,0
1,2,13,32,12,0.22247416156928917,1,13,2,2,3,-0.7225080097750833,10.552396996427476,0
0,1,18,56,4,0.10192997257962456,1,5,3,3,1,15.207811818784727,-11.061393342946015,0
0,2,13,57,9,0.20517823244041344,3,12,4,3,2,15.664557814198226,-6.174360511641286,0
0,4,32,57,0,0.6912571187513183,0,1,2,4,1,23.223329773530246,-12.570814295740533,0
1,1,5,40,2,0.07029107783168108,2,4,2,4,4,-4.69460294293458,-5.8927043589750845,0
0,1,1,23,0,0.04118329466357308,1,1,3,1,4,-20.139649095621397,0.544706461805502,1
0,3,11,53,3,0.31617802151444846,1,4,4,4,2,8.367860204375042,-11.82574466731452,0
0,1,4,38,3,0.07545876397384517,2,4,2,2,4,-6.551149561606163,-4.556021265098348,0
0,1,8,36,2,0.059797511073613155,1,5,3,2,3,-5.213515387085884,-2.1754929365750613,0
0,3,11,29,10,0.3643218730225691,1,11,3,4,2,-4.894991847034163,9.833524078440222,0
0,3,20,38,16,0.6431659987344442,1,18,1,3,2,10.082178997943387,13.479294273641333,0
0,3,25,47,14,0.4020248892638684,2,17,3,3,1,18.831838891657156,7.793645363829581,0
0,2,10,32,4,0.20428179708922167,1,10,3,3,4,-4.789262942675514,4.803531569807795,1
0,2,6,36,5,0.2894958869436828,2,6,2,2,2,-5.651979819686606,-0.7675655381556794,0
0,2,20,49,3,0.1726956338325248,2,4,2,1,1,11.27889295682941,-7.466913778887829,1
0,1,6,34,5,0.17781058848344233,2,6,2,1,3,-7.100421134861467,0.3768519396120382,0
0,2,9,39,7,0.18587850664416788,2,8,3,3,1,-0.7603797656831759,0.22431768880943004,0
0,3,12,30,8,0.3936405821556634,2,11,2,3,3,-3.885885732498089,8.688639352359317,0
0,3,14,51,2,0.5055368065808902,1,4,3,2,2,8.757025914785785,-10.345596737282442,0
0,2,10,60,2,0.2318076355199325,2,2,3,1,1,11.693498044572763,-17.993672259684516,0
0,2,12,50,3,0.3015713984391479,0,6,3,3,2,7.479759955055961,-8.512008326920174,1
0,1,8,45,4,0.05921746466990087,1,5,3,4,4,1.2702659374739724,-6.762739532289743,0
0,3,37,56,4,0.3296245517823244,2,6,1,4,4,27.77204395363482,-6.033258249616271,0
0,3,12,46,8,0.39912465724530694,0,9,3,4,4,6.494572635424916,-2.168933158580943,0
0,1,7,42,3,0.09264923012022781,0,5,3,2,2,-1.5725440847441448,-5.583366369344777,0
0,3,19,60,0,0.5206707445686564,0,1,1,4,3,16.907420203793123,-17.325174396118516,0
0,3,34,53,7,0.48302045981860364,1,33,2,4,3,32.4796374232335,14.262983371613965,1
0,2,10,39,0,0.2184138367433031,1,10,3,1,1,-0.586931212354969,-0.8996536377377033,0
0,5,29,48,10,0.9837587006960558,1,22,2,2,4,23.12556107123843,9.986546792552575,0
0,2,7,37,4,0.2896540814174225,1,5,3,4,3,-4.781335849791681,-2.1794960275188195,0
1,2,12,41,2,0.23507698797722,0,6,3,4,4,1.151169365465151,-3.5295088322757167,0
0,1,3,21,2,0.08442311748576249,2,3,3,4,1,-19.305929237656752,4.308635790749978,0
0,2,8,32,2,0.1789706812908669,0,5,3,4,2,-7.877186946996609,0.2662532284281429,0
1,1,7,37,0,0.057002742037544823,2,0,2,3,4,-7.011897252401482,-7.100350406809678,1
0,3,24,45,9,0.2215249947268509,0,24,3,1,1,18.18735973208942,11.52041657737971,0
1,3,16,41,0,0.6634676228643747,2,1,3,4,4,1.9425885129513247,-6.70448555273142,0
1,2,18,42,0,0.07187302256907825,1,1,4,2,2,3.8326959790442885,-6.8982542552710235,0
0,2,10,42,7,0.3066863530900654,1,9,3,2,3,2.24250272008193,-0.6730061749657104,0
0,1,1,24,0,0.05399704703649019,1,1,3,2,4,-19.44386783497968,-0.04319156504060828,0
1,2,6,33,2,0.3804577093440203,2,5,3,1,1,-8.484041010199434,-0.8053411773454524,1
0,2,12,43,2,0.2400864796456444,1,5,3,4,4,2.2165528159260006,-5.3964964407230305,0
0,1,3,38,1,0.08832524783800887,1,2,3,3,3,-8.097565000429448,-6.874002460245421,0
1,2,14,33,0,0.28364269141531323,2,0,3,3,4,-5.206390056267949,-3.1038288766071034,0
1,3,35,53,2,0.5233600506222316,1,5,2,4,1,23.83761067524359,-6.118920037238784,0
0,3,18,43,7,0.5173486606201223,1,8,3,1,3,7.803445709531601,-0.10041134946794372,0
1,1,10,42,6,0.08352668213457078,0,9,2,1,4,2.0136090654933767,-1.0909697159258638,0
1,1,7,29,7,0.058531955283695425,1,7,1,1,2,-9.287149694543555,5.026703044884989,1
0,2,11,29,7,0.1753849398861,1,8,3,3,2,-6.344618768058506,6.635775500851498,0
0,1,8,37,0,0.10614849187935034,1,1,3,2,2,-6.049532168077661,-6.205862901400604,0
1,5,28,50,3,0.905030584264923,1,8,3,2,1,18.525421219351358,-3.4584705713012767,0
0,2,4,29,3,0.19194262813752372,1,4,3,3,4,-12.64904351477334,0.8511100570679044,0
1,3,15,33,14,0.6564543345285805,2,15,3,4,1,2.236174973293288,12.555070658516392,0
0,4,31,55,7,0.8303627926597764,2,9,2,1,3,24.710626193766558,-3.6134246887658357,0
0,3,16,51,9,0.6054102510018984,1,10,2,2,2,12.938071681794199,-3.2010915737734287,0
0,1,10,30,7,0.0845813119595022,0,10,1,3,1,-5.753903419643649,7.13095440009874,0
0,5,23,49,0,0.9334528580468255,1,1,2,3,1,12.05875027721585,-9.803409889400868,0
1,2,20,47,10,0.21398439147859105,0,19,4,3,3,15.563677962567041,6.435481351833688,0
0,1,1,31,1,0.07867538493988609,2,1,3,2,3,-14.48806024369921,-3.833937763113287,0
0,1,7,47,2,0.05779371440624341,2,2,3,3,2,0.7826607018215626,-10.955784641577111,0
0,1,2,58,2,0.07187302256907825,0,2,3,3,1,5.152984443661985,-18.620198310727844,0
0,5,23,41,15,0.977430921746467,1,22,3,3,2,15.258781938167907,14.722759893089,1
0,1,5,29,4,0.1463826197004851,2,5,2,1,4,-11.631047825661195,2.076776474781493,0
1,1,20,50,8,0.11664205863741826,1,20,4,3,4,17.53959683701492,4.5027731582459865,0
0,1,6,32,2,0.09639316599873445,2,6,2,2,3,-8.935154659129154,0.42440746865381307,0
1,5,23,44,7,0.951276102088167,0,22,3,4,2,16.098404069581846,9.887364643960789,0
0,1,7,38,6,0.09676228643746045,1,7,4,3,3,-3.253139297293579,-0.7242059822206954,0
0,1,1,45,0,0.06670533642691415,2,1,2,3,2,-5.031287496210258,-12.544019434136167,0
0,3,28,46,2,0.5018983336848766,1,2,3,3,1,13.654200879050002,-5.541589383523096,0
1,1,6,34,0,0.10140265766715882,1,5,4,4,4,-8.171726532089018,-2.195193374794762,0
1,2,17,55,7,0.2834844969415735,1,8,3,2,3,15.324993478785366,-7.507636966605851,0
1,1,1,19,0,0.10467201012444631,2,1,4,4,2,-22.87481319866371,2.941898316105581,0
1,2,9,32,8,0.27172537439358785,1,9,3,4,1,-5.101130300336237,5.459208626970924,0
0,2,11,40,7,0.15640160303733391,0,8,3,3,3,1.206871482005667,0.08617410540254333,0
1,2,11,30,8,0.22147226323560432,0,11,2,2,3,-4.590988054217036,8.432071776134464,0
0,1,13,48,0,0.06591436405821556,1,0,3,3,4,4.381944173652364,-12.300495026705597,0
0,4,22,45,8,0.832261126344653,1,20,2,4,1,15.617692766689252,8.074467110980377,0
0,1,10,29,7,0.09022358152288547,0,10,1,4,2,-6.441535395762472,7.729807870522415,0
1,2,19,46,13,0.1901497574351403,0,16,2,1,4,13.782927773782284,5.947964810765141,0
0,2,8,41,2,0.21060957603881042,2,2,3,3,4,-2.6278795586981616,-7.121576568854763,0
1,1,4,41,3,0.11237080784644589,2,4,3,2,2,-4.497266347473158,-6.344068123587128,1
1,4,24,52,3,0.6453279898755537,1,5,4,3,4,16.351444556027012,-7.602106896947941,0
0,3,23,51,12,0.34143640582155665,2,13,2,1,1,18.772555987115496,1.5165285026652668,0
1,1,7,36,2,0.08621598818814595,2,3,3,4,3,-6.465034319055594,-3.7299366652404373,0
1,2,17,38,0,0.2986711664205864,1,1,3,1,2,0.4433428851865102,-4.7410048177708894,1
0,2,10,31,2,0.22795823665893272,2,5,3,1,4,-7.302668201363307,1.2791225072347476,0
1,2,9,44,3,0.23439147859101456,0,4,3,1,2,0.8427088217890315,-6.9569725883945,0
0,2,10,30,7,0.22648175490402872,0,8,3,4,3,-6.292360798240807,5.824454350444577,0
1,1,3,31,2,0.06818181818181818,2,3,3,2,4,-12.461791872693269,-1.6680051956132118,1
1,1,8,27,2,0.07303311537650285,2,8,3,3,4,-10.493351324807321,5.1862069192844515,1
0,2,5,24,2,0.17759966251845605,0,4,2,3,4,-15.59201115971187,3.6834663293734735,0
0,1,5,50,2,0.14137312803206076,1,3,2,3,3,1.8731266726852454,-12.5158202076896,0
0,2,17,39,11,0.25801518666947904,1,15,2,3,4,7.090114913345978,8.237913224255552,0
1,2,10,30,4,0.19436827673486606,2,8,3,3,3,-6.766649371817266,4.659119227658865,0
1,2,10,30,8,0.21709554946213883,1,10,2,4,4,-5.5389956184988485,7.54133200649432,0
0,5,30,59,2,0.9404661463826197,1,3,2,4,3,24.301919386462423,-12.08187942820944,0
0,3,10,36,7,0.5644378823033116,1,8,4,1,1,-2.100540914917012,2.2679197309601395,0
1,1,3,29,0,0.07356043028896857,2,0,2,1,4,-15.056286467931258,-3.2462393809319856,1
0,1,1,30,0,0.05399704703649019,1,1,2,1,2,-15.331248781250352,-3.6151375639772922,1
0,5,21,50,4,0.9975216199114112,2,5,3,2,3,13.293067478517145,-6.667639923806188,0
0,1,17,37,1,0.15350137101877243,1,3,2,1,3,0.4541135827504448,-2.4623134860431914,0
0,3,19,38,8,0.5827884412571188,1,10,2,2,1,5.778728182916019,4.838549679696138,0
0,2,16,41,3,0.27531111579835477,2,14,3,4,4,6.285731255257794,3.0841638842990022,0
0,1,1,29,0,0.058004640371229696,0,1,2,1,4,-16.008671181896695,-3.015903719082477,0
0,2,12,45,9,0.14174224847078676,1,10,3,4,4,6.186628794589133,-0.568846559851611,0
0,2,6,29,3,0.2301202278000422,1,5,3,1,1,-11.062643706859287,1.9661212481551917,0
0,4,23,42,6,0.8782957182029107,1,22,3,1,4,14.489984399521191,10.62807128398827,0
0,5,25,48,0,0.9099346129508543,2,1,2,4,4,12.637820427789109,-8.765395595835262,0
1,1,1,20,0,0.10108626871967939,2,1,2,4,4,-22.20211461512181,2.3496553777568483,1
0,3,13,31,8,0.5082788441257119,0,13,3,2,3,-1.9418228010324867,9.656378324831323,0
0,2,10,41,2,0.2858574140476693,1,3,1,2,3,-1.0403975674768233,-5.9888444033933865,0
1,1,4,29,2,0.06992195739295508,0,2,2,1,1,-13.485500003568792,-0.8997442756895193,1
0,2,9,42,4,0.2186247627082894,2,6,3,1,2,0.22483438561435065,-4.060675961062934,0
0,2,8,36,3,0.2975638051044084,1,6,2,4,2,-4.676927027802279,-1.0656928110749853,0
0,2,10,32,0,0.3019405188778739,2,0,1,2,1,-8.446504667119278,-3.400076409849703,1
0,2,10,36,2,0.2287492090276313,1,3,3,3,1,-4.4669418628608994,-3.0108587974660423,0
0,1,8,42,2,0.08263024678337903,0,5,3,1,2,-1.0891994685776325,-5.746655929316205,0
1,4,22,43,13,0.7938726007171483,1,17,3,4,4,14.092584977399547,9.16528550694601,0
0,2,17,36,7,0.1841910989242776,2,13,3,4,3,3.8043457041591466,7.153517717509941,0
0,2,11,36,8,0.2459924066652605,1,9,3,2,2,-1.0819624515099235,3.511509540858979,0
0,3,10,36,7,0.46029318709133094,1,9,3,4,2,-1.7979674491700735,2.9543661229835454,0
0,2,19,38,11,0.19647753638472898,1,13,3,4,4,7.0715417566430645,7.947958120165651,0
1,1,6,33,2,0.0943893693313647,2,3,2,1,3,-9.164649851961947,-2.179104523068199,0
0,2,9,45,2,0.2860683400126556,1,3,4,3,1,1.072763080192857,-8.602577499383305,0
0,2,9,27,7,0.28954861843492935,2,8,4,3,1,-8.993979143725298,7.368752119479133,0
1,2,16,34,9,0.1893060535751951,2,15,2,2,1,2.702383861424451,10.219934566854144,1
0,1,6,29,4,0.08932714617169372,1,5,3,2,3,-10.985708264751889,2.3103104077053196,0
0,2,12,32,8,0.21097869647753642,2,11,3,3,2,-2.58473583054905,7.454590732282463,0
0,4,24,44,6,0.8077937144062435,1,20,3,1,4,15.89088217613213,8.325398590535194,0
0,4,22,40,6,0.644800674963088,2,20,3,3,2,11.868026508725357,10.266302516707732,0
0,4,37,55,9,0.8345285804682556,2,10,3,2,1,29.157414759675277,-0.8231812833794105,0
0,5,21,41,16,0.9707867538493988,0,18,3,3,1,12.934163575063991,11.994331404165727,0
0,2,7,43,3,0.22869647753638472,2,4,1,3,1,-1.1330005815333593,-6.8036112019439905,1
0,2,8,38,2,0.16816072558531953,2,3,3,2,2,-4.379422369756156,-4.667423261118984,0
0,1,2,29,2,0.09233284117274836,2,2,1,2,2,-14.770893808671932,-1.355407978533842,1
1,3,17,45,0,0.6452225268930606,1,0,3,1,4,5.023661443038996,-9.540685871432395,0
0,2,5,34,2,0.17485762497363427,1,5,3,2,1,-8.423305064083724,-1.6156740676394854,0
0,1,4,38,2,0.08442311748576249,0,4,4,3,4,-6.693975247993237,-4.931696731445012,0
0,3,24,55,0,0.48671166420586376,1,1,3,4,1,16.66657604441275,-13.232513374947441,0
0,3,18,40,15,0.497047036490192,1,18,2,3,1,10.024747267189788,11.45032818292172,0
0,1,2,20,2,0.09064543345285804,2,2,3,1,4,-20.94370198712597,3.9873866896809282,0
0,1,8,33,3,0.12650284750052732,0,4,1,4,1,-7.420178637451034,-0.6421923032696331,1
1,1,8,31,4,0.0710293187091331,1,6,3,4,4,-8.035154778875249,2.2471198486851662,0
0,3,14,40,10,0.49108837797932925,1,11,3,4,1,4.5730166136996075,3.959603057511851,0
0,4,32,50,2,0.8883674330310062,1,2,3,1,4,19.021051828457757,-7.000588271287228,0
0,1,6,27,2,0.08284117274836532,2,4,3,4,4,-12.975927022737253,2.0704283276637234,0
1,3,15,36,8,0.3855726639949378,1,12,3,1,4,2.450084736774386,6.446562796081472,0
0,4,35,53,8,0.822031217042818,2,9,4,2,4,26.043675078451393,-1.1457663367355728,0
0,2,10,42,0,0.23882092385572667,1,0,4,1,2,-1.573386562150894,-9.373581394858135,0
0,2,17,37,0,0.21904661463826197,0,1,2,4,3,-0.2292823264000674,-4.119653683607222,0
0,4,22,43,1,0.8516135836321451,1,4,3,1,2,8.293947824273538,-4.12519865946631,0
0,1,1,23,0,0.01128453912676651,1,1,3,3,4,-20.130049757912257,0.5577012554266432,0
0,1,12,52,4,0.10235182450959714,1,5,3,1,3,8.62756606946408,-10.045735795202226,0
0,1,3,29,2,0.14506433241932082,0,3,3,4,1,-13.80509469994838,-0.4444727484225144,0
1,5,29,50,3,0.9349820712929762,0,27,2,3,2,24.950230938838075,9.471855065820153,0
0,2,20,42,16,0.20554735287913944,1,20,3,3,2,13.358720860182132,12.379646181243709,0
0,2,6,34,3,0.17902341278211348,1,4,4,3,2,-7.936676220001928,-1.6776618647824773,0
0,1,6,32,3,0.1540814174224847,1,4,3,2,3,-9.384050110124893,-0.5271840908329235,0
0,2,6,56,0,0.2304893482387682,1,0,2,1,4,5.476873143414025,-18.609175918750598,0
0,1,5,27,2,0.14801729592912888,0,5,3,2,4,-13.30077028635774,2.514924142878172,0
0,1,7,40,3,0.12486817127188356,1,4,3,1,3,-3.256761696770262,-5.073637520690109,0
0,3,17,37,0,0.47663994937776843,0,1,3,3,1,-0.1586678891495623,-4.087471253519368,1
0,1,1,33,1,0.05267875975532588,0,1,2,3,2,-13.103675061042573,-5.000056456586794,0
0,2,17,36,7,0.22294874499050832,1,7,3,3,3,1.9826669197259292,3.1470109061048035,0
0,1,8,39,3,0.14480067496308796,1,8,3,3,3,-2.085480379324963,-1.5698228864442338,0
0,2,12,36,7,0.2146171693735499,0,7,3,4,1,-1.1983646693693188,2.037363120115442,0
0,2,10,36,7,0.22247416156928917,1,9,3,2,3,-1.8766082298995244,2.900714601466454,0
1,2,18,37,0,0.16810799409407295,2,1,3,2,3,0.3954646885273192,-3.9220121740710603,0
